job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
"https://glassdoor.com/job-listing/assistant-clinical-director-balance-eating-disorder-treatment-center-JV_KO0,27_KE28,68.htm?jl=1008952242632",glassdoor,Assistant Clinical Director,BALANCE eating disorder treatment center,,United States,,,yearly,85000,95000,USD,False,,,,
"https://glassdoor.com/job-listing/building-automation-project-engineer-empowered-buildings-JV_IC1132348_KO0,36_KE37,56.htm?jl=1008953816803",glassdoor,Building Automation Project Engineer,Empowered Buildings,,"New York, NY",,,yearly,75000,200000,USD,False,,,,
"https://glassdoor.com/job-listing/on-site-rpa-uipath-developer-avantify-technology-JV_IC1132348_KO0,28_KE29,48.htm?jl=1008973771810",glassdoor,On-site RPA/UiPath Developer,Avantify Technology,,"New York, NY",,,hourly,60,75,USD,False,,,,
"https://glassdoor.com/job-listing/software-engineer-tm-bier-associates-JV_IC1132348_KO0,17_KE18,36.htm?jl=1008759599404",glassdoor,Software Engineer,T.M. Bier & Associates,,"New York, NY",,,yearly,75000,95000,USD,False,,,,
"https://glassdoor.com/job-listing/senior-net-developer-the-developer-link-JV_IC1132348_KO0,20_KE21,39.htm?jl=1008543246385",glassdoor,Senior .Net Developer,the developer link,,"New York, NY",,,yearly,120000,160000,USD,False,,,,
"https://glassdoor.com/job-listing/commodities-front-office-software-engineer-macquarie-group-limited-JV_IC1132348_KO0,42_KE43,66.htm?jl=1008625401161",glassdoor,Commodities Front Office Software Engineer,Macquarie Group Limited,,"New York, NY",,,yearly,101000,147000,USD,False,,,,
"https://glassdoor.com/job-listing/full-stack-developer-python-velocity-capital-group-llc-JV_IC1132206_KO0,27_KE28,54.htm?jl=1008726618087",glassdoor,Full Stack Developer (Python),Velocity Capital Group LLC,,"Cedarhurst, NY",,,yearly,90000,90000,USD,False,,,,
"https://glassdoor.com/job-listing/full-stack-developer-the-developer-link-JV_IC1132348_KO0,20_KE21,39.htm?jl=1008961696504",glassdoor,Full Stack Developer,the developer link,,"New York, NY",,,yearly,120000,150000,USD,False,,,,
"https://glassdoor.com/job-listing/jr-sr-android-developer-moleq-inc-JV_IC1132319_KO0,23_KE24,33.htm?jl=1008941009277",glassdoor,Jr/Sr Android Developer,MoleQ Inc.,,"Maspeth, NY",,,yearly,55000,80000,USD,False,,,,
"https://glassdoor.com/job-listing/full-stack-developer-rethink-JV_KO0,20_KE21,28.htm?jl=1006807290498",glassdoor,Full Stack Developer,Rethink,,United States,,,hourly,50,60,USD,False,,,,
https://www.ziprecruiter.com/k/l/AAKwrQDao8uXoZCE0jmv0A3y6VmedVRfOrB6-csbn8j3CQfowTtXrZKFbqxoLC1hKzfM5TZMQd5Piae6S3IpkuTy1Hdh8sYON5LNHb-ne-t_NChhkLBbtGyN8K8tag4yzLCT3tQ4h6mNnNDqTMjXRUYZhHqcS10swqqEKn8hv3OgWSwGl0-HCjbfSBStPZdi0H2K3TmB6A4iueRPfWHmu2Pj2KKE3dtTnK0,zip_recruiter,Senior C# Software Engineer,Selby Jennings,,"New York, NY, USA",,2023-11-11,yearly,185000,225000,USD,,0,,,"SummaryA multi- strategy hedge fund is seeking an experienced C# Engineer for its Compliance team in NYC. Over the last 20 years, they have grown into an institutional global platform with multiple investment strategies. Today, they have over 1,700 employees globally and over $20B AUM. In this role, you will be responsible for building and supporting suite of tools in the compliance and regulatory space. This growing suite of tools spans across pre and post trade compliance, reporting over multiple geographies, trade surveillance and work flow applications.Role OverviewWork closely with compliance, trading and technology teams to deliver cutting-edge innovative software solutions to businessesCollaborate in a fast-paced team environment to understand, engineer, and deliver on business requirementsPlay a key role in designing, and deploying the firms critical back-end systemsQualifications5+ years of professional software development experienceDeep experience in C# requiredExperience with React preferredExperience writing and optimizing production SQL queries, a plusExperience working in Agile Development / SCRUM Methodologies, a plusExperience with basic DevOps techniques, including CI/CD and infrastructure-as-code, a plusFinancial industry exposure, a plusComfortable in a fast-paced environmentHumble, team-player who wants to win"
