job_url_hyper,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
"<a href=""https://glassdoor.com/job-listing/application-developer-15-tcu-represented-metropolitan-transportation-authority-JV_IC1132348_KO0,40_KE41,78.htm?jl=1008817475382"">https://glassdoor.com/job-listing/application-developer-15-tcu-represented-metropolitan-transportation-authority-JV_IC1132348_KO0,40_KE41,78.htm?jl=1008817475382</a>",glassdoor,Application Developer 1-5 (TCU Represented),Metropolitan Transportation Authority,,"New York, NY",,,yearly,57100,81572,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/front-end-developer-moleq-inc-JV_IC1132319_KO0,19_KE20,29.htm?jl=1008941007303"">https://glassdoor.com/job-listing/front-end-developer-moleq-inc-JV_IC1132319_KO0,19_KE20,29.htm?jl=1008941007303</a>",glassdoor,Front End Developer,MoleQ Inc.,,"Maspeth, NY",,,yearly,44000,60000,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/jr-sr-android-developer-moleq-inc-JV_IC1132319_KO0,23_KE24,33.htm?jl=1008941009277"">https://glassdoor.com/job-listing/jr-sr-android-developer-moleq-inc-JV_IC1132319_KO0,23_KE24,33.htm?jl=1008941009277</a>",glassdoor,Jr/Sr Android Developer,MoleQ Inc.,,"Maspeth, NY",,,yearly,55000,80000,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/front-end-developer-apple-JV_IC1132348_KO0,19_KE20,25.htm?jl=1008979462507"">https://glassdoor.com/job-listing/front-end-developer-apple-JV_IC1132348_KO0,19_KE20,25.htm?jl=1008979462507</a>",glassdoor,Front End Developer,Apple,,"New York, NY",,,,,,,False,,,,
"<a href=""https://glassdoor.com/job-listing/webmaster-gretchen-scott-designs-JV_IC1132370_KO0,9_KE10,32.htm?jl=1008930880298"">https://glassdoor.com/job-listing/webmaster-gretchen-scott-designs-JV_IC1132370_KO0,9_KE10,32.htm?jl=1008930880298</a>",glassdoor,Webmaster,Gretchen Scott Designs,,"Pelham, NY",,,yearly,75000,100000,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/senior-mobile-engineer-bloomberg-media-bloomberg-JV_IC1132348_KO0,38_KE39,48.htm?jl=1008884233045"">https://glassdoor.com/job-listing/senior-mobile-engineer-bloomberg-media-bloomberg-JV_IC1132348_KO0,38_KE39,48.htm?jl=1008884233045</a>",glassdoor,Senior Mobile Engineer - Bloomberg Media,Bloomberg,,"New York, NY",,,yearly,160000,240000,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/interactive-developer-cnn-digital-warner-bros-discovery-JV_KO0,33_KE34,55.htm?jl=1008978430914"">https://glassdoor.com/job-listing/interactive-developer-cnn-digital-warner-bros-discovery-JV_KO0,33_KE34,55.htm?jl=1008978430914</a>",glassdoor,"Interactive Developer, CNN Digital",Warner Bros. Discovery,,United States,,,yearly,72208,134100,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/react-nodejs-full-stack-developer-kforce-JV_IC1132348_KO0,33_KE34,40.htm?jl=1008965445686"">https://glassdoor.com/job-listing/react-nodejs-full-stack-developer-kforce-JV_IC1132348_KO0,33_KE34,40.htm?jl=1008965445686</a>",glassdoor,React / NodeJS Full Stack Developer,Kforce,,"New York, NY",,,hourly,70,70,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/application-developer-sp-global-JV_IC1132348_KO0,21_KE22,31.htm?jl=1008979757225"">https://glassdoor.com/job-listing/application-developer-sp-global-JV_IC1132348_KO0,21_KE22,31.htm?jl=1008979757225</a>",glassdoor,APPLICATION DEVELOPER,S&P Global,,"New York, NY",,,yearly,60000,100000,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/sr-front-end-developer-next-ventures-JV_KO0,22_KE23,36.htm?jl=1008957968444"">https://glassdoor.com/job-listing/sr-front-end-developer-next-ventures-JV_KO0,22_KE23,36.htm?jl=1008957968444</a>",glassdoor,Sr. Front End Developer,Next Ventures,,United States,,,yearly,160000,190000,USD,False,,,,
"<a href=""https://www.ziprecruiter.com/k/l/AAKOOta5KslzXRxPIsHNf8OOyr0isrZZBM-XResDP32P0EkbTvmud6hDc1OykgN03wQgdMuNJPCppWrU8391PFPbq4gmpge49uyPEMRTQIx3fdtLvZ6Gchlo1nNOCsvGdbIxH-vXTCbyNqy2XJZqexl37E-DKSL704ZcOK2Y_K13VInj6MKunBAi6qrxIwBfPi44kGT5VyTIN1LzzmsL_yeniLi-x8IZnojt"">https://www.ziprecruiter.com/k/l/AAKOOta5KslzXRxPIsHNf8OOyr0isrZZBM-XResDP32P0EkbTvmud6hDc1OykgN03wQgdMuNJPCppWrU8391PFPbq4gmpge49uyPEMRTQIx3fdtLvZ6Gchlo1nNOCsvGdbIxH-vXTCbyNqy2XJZqexl37E-DKSL704ZcOK2Y_K13VInj6MKunBAi6qrxIwBfPi44kGT5VyTIN1LzzmsL_yeniLi-x8IZnojt</a>",zip_recruiter,Angular Front-End Developer,Synergistic Systems Inc,,"Chatham, NJ, USA",fulltime,2023-11-17,hourly,70,80,USD,,0,,,"Our client, a large financial services firm, is looking for an front-end developer that has solid experience with Angular. This position can be worked remotely, but being in the Eastern time zone would be preferred as the client's development team is in India and the successful candidate would have to be available at 6 am Eastern time for morning meetings.A seasoned, front-end developer who can lead other developers in building out the browser-based UI features as designed.They should have experience with browser development including Angular UI framework (used with HTML, JavaScript/TypeScript, CSS)REST API consumption from browser applicationsWorking with grid controls in browser-based appsMicro front-endsAdding “polish” to the appearance of browser apps (meaning that a well-functioning application can be made more appealing and easier on the eye without changing application behavior or requiring rewriting; adding professional appearance and feel)Experience leading/coordinating development efforts (mainly looking for technical leadership---designing components for end-user usability and component reusability and maintainability)Knowledge of GIT version control"
"<a href=""https://www.ziprecruiter.com/k/l/AAKyfEokk92GDVYMATQfgi3BvRD3J3UjhwsPZdYDVOFUATb2Fdpzr-HhsLTUfp_XSfCxxUm4pORKVXdKPBBPOPq3hearaiBfcjDl6ykB57lsOUyR_gfQ8D4V0fAzAZRv1sp6DTtTvGu2NpcGV8fpXjmMrj-Talmr5Lkc9w2Ab9FILUmyYuumHiq2fwv8FJicJRtss310mOf46pzXOi84acGOsJ__AqAjmikNjP4"">https://www.ziprecruiter.com/k/l/AAKyfEokk92GDVYMATQfgi3BvRD3J3UjhwsPZdYDVOFUATb2Fdpzr-HhsLTUfp_XSfCxxUm4pORKVXdKPBBPOPq3hearaiBfcjDl6ykB57lsOUyR_gfQ8D4V0fAzAZRv1sp6DTtTvGu2NpcGV8fpXjmMrj-Talmr5Lkc9w2Ab9FILUmyYuumHiq2fwv8FJicJRtss310mOf46pzXOi84acGOsJ__AqAjmikNjP4</a>",zip_recruiter,Direct Support Professional Front End (Day),Andrus Childrens Center,,"Yonkers, NY, USA",fulltime,2023-11-17,hourly,18,27,USD,,0,,,"Job Overview of Direct Support Professional Front End (Day)NOW OFFERING $2000 SIGN ON BONUS PLUS 4 WEEKS OF VACATION EFFECTIVE JAN. 1The Direct Care Youth Worker is responsible to maintain a safe, predictable and therapeutic living environment for children in care at Andrus while supporting the agency’s mission, vision, core values and treatment philosophy. The provides close supervision, counseling, and support to the children during all cottage-based activities. The Direct Support Professional is responsible to plan and implement individual and group initiatives to build children’s skills and self-esteem. The Direct Support Professional ensures that the basic needs of children are met, and that the cottage is maintained in a safe, orderly, predictable, therapeutic, structured and clean condition. The Direct Support Professional works as part of a multidisciplinary team which includes recreation therapists, teachers, social workers and other professionals. Essential Duties of Direct Support Professional Front End (Day)Key duties of this position include, but are not limited to, the following:Assuring the safety of each resident and for the cottage community Actively supervising the residents at all times, based on their age and level, to assure everyone’s safety.Supervising the residents by participating with them in scheduled activitiesEnacting the program schedule as written and on timeUsing all aspects of Sanctuary in the care s/he providesUsing all aspects of trauma sensitive care in the services s/he providesUsing all techniques of TCI to prevent triggering, to intervene early to prevent escalation to crisis, for safe management of any crisis that does arise, and for assuring safety and learning after any crisis. This includes becoming skilled in LSIs and conflict resolutions, and conducting them for even minor conflicts, to minimize the occurrence of larger conflicts. Assuring that Safety Plans and ICMPs are in place, available to all staff and actively used to guide treatment.Understanding the importance of and takes responsibility for team work and good communicationPlanning and enacting smooth transitions from one activity to the nextArriving consistently and on time for assigned shifts. Meet expectations for use of leave, professional presentation, and responsibility for specific tasksSupports overall strategic plan of the organizationAbility to adhere to our organization's core values and commitmentsEssential Qualifications of Direct Support Professional Front End (Day)Key qualifications include: CPR/First Aid certification preferred (in-service trainings are mandatory)Minimum of HS diploma (or equivalent) plus one year of lived or work experience dealing with children with Autism Spectrum Disorder/behavioral or emotional issues/special needs”Computer proficient and navigate Microsoft Office suiteMulti-lingual a plus driver’s license preferredAbility to access and utilize ADP app on smartphone or other device for access to agency programsPhysical/Travel Requirements of Direct Support Professional Front End (Day)liftreachwalkclimb stairsbendThe employee must be able to meet these requirements with or without a reasonable accommodation.Benefits of Direct Support Professional Front End (Day)Generous PTO, 4 weeks of vacation, floating holidays, holidays, personal and sick timeHealth InsuranceDental InsuranceVision Benefits401(k) Employer ContributionsTuition ReimbursementAflac BenefitsFlex Spending AccountsEmployer Paid STD, LTD and Life InsuranceProfessional Development DisclaimerNothing in this job description restricts Andrus’ right to modify the duties/responsibilities of this job at any time, with or without advanced notice.EEO Statement Andrus is an equal opportunity employer.  "
"<a href=""https://www.ziprecruiter.com/ek/l/AALiz4DKWw5-WwQW0UtHEJEiHKlum0Mro5byqY1dF2g2dtsGc7onQAvAkN43U0fbSd0j7oczBfesVUuyjc259KX51HzNG4MU6cABiYewWGusWo1VbZYGsDHVOdI7f45cRjMy4kHryj1ZZFZwlvTNZgjvDbVj8Ze24hSzwjbRDgsfseSzh_UfcbaFsUdLpAlNo3SNUhv835G2oXP0VqsaEk0Ru3YX96HakwWn0rE"">https://www.ziprecruiter.com/ek/l/AALiz4DKWw5-WwQW0UtHEJEiHKlum0Mro5byqY1dF2g2dtsGc7onQAvAkN43U0fbSd0j7oczBfesVUuyjc259KX51HzNG4MU6cABiYewWGusWo1VbZYGsDHVOdI7f45cRjMy4kHryj1ZZFZwlvTNZgjvDbVj8Ze24hSzwjbRDgsfseSzh_UfcbaFsUdLpAlNo3SNUhv835G2oXP0VqsaEk0Ru3YX96HakwWn0rE</a>",zip_recruiter,Lead Software Engineer- Python / Big Data / AWS,JPMorgan Chase & Co,,"Jersey City, NJ, USA",,2023-11-17,yearly,147250,215000,USD,,0,,,"Familiarity with modern front-end technologies NodeJS, and with various automated testing and tools * Financial industry experience with exposure in large scale/ high-volume industry ABOUT US ..."
