,company,listings
0,Bubble,"['https://ru.linkedin.com/in/denis-khromov-b537b81b5', 'https://designwanted.com/hubble-bubble-moooi/', 'https://www.pinterest.com/pin/77053843616193021/']"
1,BrainPOP,"['https://wiza.co/d/brainpop/5db7', 'http://www.abigailadamsdesigns.com/', 'https://se.linkedin.com/company/brainpop']"
2,Flowcode,"['https://ec.linkedin.com/company/flowcode-qr/?trk=products_details_guest_organization_page', 'https://blog.flowcode.com/top-8-ways-to-use-flowcode-stickers-in-your-marketing', 'https://www.flowcode.com/blog/designers-heres-7-creative-ways-to-use-qr-codes']"
3,Peloton,"['https://design-milk.com/buckets-and-buckets-of-knobs-with-peloton-head-of-industrial-design-jason-poure/', 'http://www.zackbarangan.com/resume', 'https://investor.onepeloton.com/news-releases/news-release-details/peloton-appoints-dara-treseder-lead-its-marketing-efforts']"
4,JPMorgan Chase,"['https://es.linkedin.com/in/uesuxguy/es', 'https://www.linkedin.com/in/gean/es', 'http://joshklenert.com/']"
5,360Learning,"['https://360learning.com/blog/author/robin-nichols/', 'https://360learning.com/blog/author/david-james/', 'https://360learning.com/blog/tag/l-and-d-plus/']"
6,The Walt Disney Company,"['https://jp.linkedin.com/in/graphicalphabet', 'https://www.sec.gov/Archives/edgar/data/1744489/000174448921000230/fy2022_q1xxdirectordepartu.htm', 'https://bruceabbott.co/resume']"
7,Snap Inc.,"['https://www.linkedin.com/in/skyefeatherstone/zh-cn', 'https://cn.linkedin.com/in/qiaokun-huang-60336115', 'https://www.polywork.com/willwu']"
8,Capital One,"['https://twitter.com/aigadfw/status/1498327234704203784?lang=bg', 'https://mobile.twitter.com/AIGADFW/status/1498327234704203784', 'https://www.colorvisioncreates.com/the-career-corner/2022/3/14/executive-creative-director-product-portfolio-capital-one']"
9,monday.com,"['https://community.monday.com/t/looking-for-a-monday-wizard-to-assist-with-setup-integration-automation-pronto/31473', 'https://growth.monday.com/homepage/partnership/academic-ecosystem-partners/', 'https://mondaydesign.com/how-our-design-team-builds-ux-research-muscle/']"
10,Parsley Health,"['https://works.dayjimenez.me/filter/parsley-health/Parsley-Health-Brand', 'https://works.dayjimenez.me/Parsley-Health-Leadership', 'http://www.nazkalipci.com/parsley-health-brand']"
11,Current,"['https://www.linkedin.com/in/beckyburd/fr', 'https://read.cv/rsnoonan', 'https://read.cv/austin']"
12,"Schrödinger, Inc.","['https://it.linkedin.com/company/schr-dinger?trk=similar-companies_org_image', 'https://nl.linkedin.com/company/schr-dinger?trk=public_profile_experience-item_profile-section-card_subtitle-click', 'https://events.bizzabo.com/351113/agenda/speakers/1259216?widget=true']"
